"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"15","a15",6,2,3,"Zajecka2010 (CAGO178A2301) (NCT00411099)",2008,"2010","agomelatine",50,50,"Fixed",50,"Licensed","Yes","Investigational",168,37,10,161,14.1,7.74,80,161,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","22","No",8,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","44.2","0.625","LOCF","HAMD17",27.1,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","22","No",8,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"16","a16",6,3,3,"Zajecka2010 (CAGO178A2301) (NCT00411099)",2008,"2010","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",173,37,11,167,16.6,8.4,63,167,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","22","No",8,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","43.1","0.68100000000000005","LOCF","HAMD17",27.1,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","22","No",8,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"17","a17",7,1,3,"CL3-20098-024",2002,"2002","agomelatine",25,50,"Fixed",38,"Licensed","Yes","Investigational",301,54,10,295,12.7,8.2,175,295,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","40.4","0.72499999999999998","Others","HAMD17",26.4,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"18","a18",7,2,3,"CL3-20098-024",2002,"2002","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",148,17,7,146,12.5,7.4,89,145,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","41.3","0.72499999999999998","Others","HAMD17",26.5,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"19","a19",7,3,3,"CL3-20098-024",2002,"2002","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",158,21,4,158,13.4,8.4,91,158,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","41.6","0.72499999999999998","Others","HAMD17",26.9,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","HAMD17","22","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"22","a22",9,1,2,"CL3-20098-026",2001,"2001","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",109,25,8,105,-10.6,8.1,51,105,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","MADRS","24","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","66.8",NA,"Others","HAMD17",23.4,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","MADRS","24","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"23","a23",9,2,2,"CL3-20098-026",2001,"2001","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",109,19,2,105,-9.6,7.3,50,105,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","MADRS","24","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","67.8",NA,"Others","HAMD17",23,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/tertiary care","DSM-IV","Both","MADRS","24","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"24","a24",10,1,2,"Montgomery2004b (CL3-20098-030)",2001,"2001","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",167,35,11,163,-11.9,8.1,106,163,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","18","No",12,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","42.8",NA,"Others","MADRS",23.1,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","18","No",12,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"25","a25",10,2,2,"Montgomery2004b (CL3-20098-030)",2001,"2001","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",168,35,15,161,-14,7.5,120,161,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","18","No",12,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","42.1",NA,"Others","MADRS",23,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","18","No",12,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"42","a44",19,1,2,"Lemoine2007 (CL3-20098-035)",2004,"2004","agomelatine",25,50,"Fixed",50,"Licensed","Yes","Investigational",165,16,7,165,9.9,6.6,126,165,"Yes",4,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","20","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","40.700000000000003","0.752","LOCF","HAMD17",25.9,"Yes",4,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","20","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"43","a45",19,2,2,"Lemoine2007 (CL3-20098-035)",2004,"2004","venlafaxine",75,150,"Fixed",150,"Licensed","No","Comparator",167,36,22,167,11,8.2,115,163,"Yes",4,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","20","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","39.6","0.67100000000000004","LOCF","HAMD17",26,"Yes",4,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD17","20","No",24,"No","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"47","a49",21,1,5,"Loo2002 (CL2-014)",NA,"2002","agomelatine",1,1,"Fixed",1,"Extremely low","Yes","Investigational",141,27,6,136,13.2,8.18,85,136,"yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk","42.3","66.5","LOCF","HAMD17",27.9,"yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk"
"48","a50",21,2,5,"Loo2002 (CL2-014)",NA,"2002","agomelatine",5,5,"Fixed",5,"Extremely low","Yes","Investigational",147,45,10,146,14.7,8.54,75,146,"yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk","42.3","66.5","LOCF","HAMD17",27.3,"yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk"
"49","a51",21,3,5,"Loo2002 (CL2-014)",NA,"2002","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",137,32,11,135,12.77,8.23,83,135,"Yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk","42.3","0.66500000000000004","LOCF","HAMD17",27.4,"Yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk"
"50","a52",21,4,5,"Loo2002 (CL2-014)",NA,"2002","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",139,35,9,136,15.34,8.87,63,136,"Yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk","42.3","0.66500000000000004","LOCF","HAMD17",27.4,"Yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk"
"51","a53",21,5,5,"Loo2002 (CL2-014)",NA,"2002","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",147,34,10,144,13.09,8.37,81,144,"Yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk","42.3","0.66500000000000004","LOCF","HAMD17",27.3,"Yes",5,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Other/Unclear/Not stated","HAMD17","22","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias",NA,"Moderate risk"
"52","a55",22,1,4,"Kennedy2014 (EudraCT 2009-011238-84)",2009,"2014","agomelatine",25,25,"Fixed",25,"Licensed","Yes","Investigational",138,8,1,138,14,6.6,70,138,"No",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",6,"No","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Moderate risk","46.5","0.65200000000000002","LOCF","HAMD17",26.7,"No",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",6,"No","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Moderate risk"
"53","a56",22,3,4,"Kennedy2014 (EudraCT 2009-011238-84)",2009,"2014","agomelatine",10,10,"Fixed",10,"Extremely low","Yes","Investigational",133,10,1,132,16.5,7,54,132,"No",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",6,"No","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Moderate risk","45.4","79","LOCF","HAMD17",27.3,"No",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",6,"No","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Moderate risk"
"55","a57",22,4,4,"Kennedy2014 (EudraCT 2009-011238-84)",2009,"2014","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",141,15,0,141,18.7,7.3,35,141,"No",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",6,"No","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk","45","0.76600000000000001","LOCF","HAMD17",26.6,"No",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","22","Unclear",6,"No","Unclear risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk"
"118","b12",53,1,2,"Lineberry1990 (WELL 84A)",1988,"1990","bupropion",300,300,"Fixed",300,"Licensed","Yes","Investigational",112,25,6,110,14.52,8.77,56,110,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","41.9",NA,"Others","HAMD21",26.54,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"119","b13",53,2,2,"Lineberry1990 (WELL 84A)",1988,"1990","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",112,32,5,106,18.35,9.87,36,106,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40.799999999999997",NA,"Others","HAMD21",27.02,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"124","b18",56,1,3,"Reimherr1998 (WELL203, FDA203)",1991,"1998","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",121,60,4,117,-8.06,8.14,41,117,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III-R","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk","40.200000000000003",NA,"Others","HAMD17",23.21,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III-R","Outpatients only","HAMD17","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias",NA,"Moderate risk"
